stateabb,year,gdp_per_cap,ccode
AFG,1950,1156,700
AFG,1951,1170,700
AFG,1952,1189,700
AFG,1953,1240,700
AFG,1954,1245,700
AFG,1955,1246,700
AFG,1956,1278,700
AFG,1957,1253,700
AFG,1958,1298,700
AFG,1959,1307,700
AFG,1960,1326,700
AFG,1961,1309,700
AFG,1962,1302,700
AFG,1963,1298,700
AFG,1964,1291,700
AFG,1965,1290,700
AFG,1966,1272,700
AFG,1967,1277,700
AFG,1968,1290,700
AFG,1969,1278,700
AFG,1970,1272,700
AFG,1971,1237,700
AFG,1972,1007,700
AFG,1973,1011,700
AFG,1974,1039,700
AFG,1975,1074,700
AFG,1976,1105,700
AFG,1977,1022,700
AFG,1978,1070,700
AFG,1979,1023,700
AFG,1980,1019,700
AFG,1981,1144,700
AFG,1982,1270,700
AFG,1983,1347,700
AFG,1984,1337,700
AFG,1985,1304,700
AFG,1986,1344,700
AFG,1987,1211,700
AFG,1988,1101,700
AFG,1989,999,700
AFG,1990,963,700
AFG,1991,881.1704,700
AFG,1992,843.87537,700
AFG,1993,578.4028,700
AFG,1994,428.42456,700
AFG,1995,632.94037,700
AFG,1996,600.1753,700
AFG,1997,570.59814,700
AFG,1998,545.03876,700
AFG,1999,518.65784,700
AFG,2000,502.37274,700
AFG,2001,489.682,700
AFG,2002,796.8166,700
AFG,2003,842.8052,700
AFG,2004,869.03925,700
AFG,2005,964.4081,700
AFG,2006,1057.0966,700
AFG,2007,1259.9967,700
AFG,2008,1319.6074,700
AFG,2009,1557.3207,700
AFG,2010,1627.6716,700
AFG,2011,1792,700
AFG,2012,1945,700
AFG,2013,2025,700
AFG,2014,2022,700
AFG,2015,1928,700
AFG,2016,1931.2438,700
AFG,2017,1909.733,700
AFG,2018,1888.814,700
AFG,2019,2031.7373,700
AFG,2020,1928.4547,700
AFG,2021,1485.547,700
AFG,2022,1357.9878,700
ALB,1870,711,339
ALB,1890,953,339
ALB,1900,1092,339
ALB,1910,1243,339
ALB,1913,1293,339
ALB,1929,1476,339
ALB,1950,1596,339
ALB,1951,1666,339
ALB,1952,1667,339
ALB,1953,1736,339
ALB,1954,1785,339
ALB,1955,1882,339
ALB,1956,1902,339
ALB,1957,2023,339
ALB,1958,2114,339
ALB,1959,2201,339
ALB,1960,2313,339
ALB,1961,2332,339
ALB,1962,2409,339
ALB,1963,2491,339
ALB,1964,2576,339
ALB,1965,2670,339
ALB,1966,2770,339
ALB,1967,2876,339
ALB,1968,2979,339
ALB,1969,3080,339
ALB,1970,3194,339
ALB,1971,3322,339
ALB,1972,3451,339
ALB,1973,3623,339
ALB,1974,3637,339
ALB,1975,3649,339
ALB,1976,3665,339
ALB,1977,3681,339
ALB,1978,3696,339
ALB,1979,3716,339
ALB,1980,3741,339
ALB,1981,3762,339
ALB,1982,3783,339
ALB,1983,3805,339
ALB,1984,3826,339
ALB,1985,3846,339
ALB,1986,3870,339
ALB,1987,3894,339
ALB,1988,3920,339
ALB,1989,3948,339
ALB,1990,3983,339
ALB,1991,2942.1006,339
ALB,1992,2841.7651,339
ALB,1993,3137.024,339
ALB,1994,3399.7102,339
ALB,1995,3666.6506,339
ALB,1996,3965.6853,339
ALB,1997,3526.9856,339
ALB,1998,3873.373,339
ALB,1999,4432.0425,339
ALB,2000,4808.4795,339
ALB,2001,5285.809,339
ALB,2002,5608.9624,339
ALB,2003,6004.645,339
ALB,2004,6419.8706,339
ALB,2005,6858.4673,339
ALB,2006,7347.33,339
ALB,2007,7866.1577,339
ALB,2008,8522.13,339
ALB,2009,8859.472,339
ALB,2010,9222.973,339
ALB,2011,9484,339
ALB,2012,9634.334,339
ALB,2013,9748.728,339
ALB,2014,9942.276,339
ALB,2015,10192.529,339
ALB,2016,10547.255,339
ALB,2017,10958.307,339
ALB,2018,11426.92,339
ALB,2019,11715.307,339
ALB,2020,11372.541,339
ALB,2021,12455.917,339
ALB,2022,12978.101,339
ARG,1800,1484,160
ARG,1820,1591,160
ARG,1850,1994,160
ARG,1860,2160,160
ARG,1870,2340,160
ARG,1875,2606,160
ARG,1876,2611,160
ARG,1877,2820,160
ARG,1878,2619,160
ARG,1879,2664,160
