id,stateabb,ccode,year
1,USA,2,1950
2,USA,2,1955
3,USA,2,1960
4,USA,2,1965
5,USA,2,1970
6,USA,2,1975
7,USA,2,1980
8,USA,2,1985
9,USA,2,1990
10,USA,2,1995
11,USA,2,2000
12,USA,2,2005
13,USA,2,2010
14,CAN,20,1945
15,CAN,20,1950
16,CAN,20,1955
17,CAN,20,1960
18,CAN,20,1965
19,CAN,20,1970
20,CAN,20,1975
21,CAN,20,1980
22,CAN,20,1985
23,CAN,20,1990
24,CAN,20,1995
25,CAN,20,2000
26,CAN,20,2005
27,CAN,20,2010
28,BHM,31,1975
29,BHM,31,1980
30,BHM,31,1985
31,BHM,31,1990
32,BHM,31,1995
33,BHM,31,2000
34,BHM,31,2005
35,BHM,31,2010
36,CUB,40,1945
37,CUB,40,1950
38,CUB,40,1955
39,CUB,40,1960
40,CUB,40,1965
41,CUB,40,1970
42,CUB,40,1975
43,CUB,40,1980
44,CUB,40,1985
45,CUB,40,1990
46,CUB,40,1995
47,CUB,40,2000
48,CUB,40,2005
49,CUB,40,2010
50,HAI,41,1945
51,HAI,41,1950
52,HAI,41,1955
53,HAI,41,1960
54,HAI,41,1965
55,HAI,41,1970
56,HAI,41,1975
57,HAI,41,1980
58,HAI,41,1985
59,HAI,41,1990
60,HAI,41,1995
61,HAI,41,2000
62,HAI,41,2005
63,HAI,41,2010
64,DOM,42,1945
65,DOM,42,1950
66,DOM,42,1955
67,DOM,42,1960
68,DOM,42,1965
69,DOM,42,1970
70,DOM,42,1975
71,DOM,42,1980
72,DOM,42,1985
73,DOM,42,1990
74,DOM,42,1995
75,DOM,42,2000
76,DOM,42,2005
77,DOM,42,2010
78,JAM,51,1960
79,JAM,51,1965
80,JAM,51,1970
81,JAM,51,1975
82,JAM,51,1980
83,JAM,51,1985
84,JAM,51,1990
85,JAM,51,1995
86,JAM,51,2000
87,JAM,51,2005
88,JAM,51,2010
89,TRI,52,1960
90,TRI,52,1965
91,TRI,52,1970
92,TRI,52,1975
93,TRI,52,1980
94,TRI,52,1985
95,TRI,52,1990
96,TRI,52,1995
97,TRI,52,2000
98,TRI,52,2005
99,TRI,52,2010
100,BAR,53,1970
101,BAR,53,1975
102,BAR,53,1980
103,BAR,53,1985
